Season,Cultivar,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,GY
1,BRASMAX OLIMPO IPRO,1,86.6,23,44,160,2,4.8,187.87,4368.41
1,BRASMAX OLIMPO IPRO,2,91,24,71.8,138.4,1.93,5.6,187.38,4425.03
1,BRASMAX OLIMPO IPRO,3,84.6,26.4,87.6,226,2.58,6.2,177.1,4270.16
1,BRASMAX OLIMPO IPRO,4,87.4,24.47,67.8,174.8,2.17,5.53,180,4299.17
1,LYNDA IPRO,3,64.4,25.4,55.4,137.2,2.48,3,200.67,3993.56
1,LYNDA IPRO,4,60.27,18.07,52.93,117.33,2.2,2.93,201.77,4035.31
1,83IX84RSF I2X,1,69.4,15.2,103.8,219.2,2.11,5.6,146.16,4053.31
1,83IX84RSF I2X,2,79,18.2,87.2,208,2.39,6.6,148.48,4098.49
1,83IX84RSF I2X,3,67.2,14.6,102.4,203.2,1.98,5.6,151.95,4122.76
1,83IX84RSF I2X,4,71.87,16,97.8,210.13,2.16,5.93,145.72,4186.55
1,ADAPTA LTT 8402 IPRO,1,54.4,15.8,55,128.8,2.34,5.8,158.46,4509.32
1,ADAPTA LTT 8402 IPRO,2,58.6,16.4,54.8,132.8,2.42,5,149.77,4598.94
1,ADAPTA LTT 8402 IPRO,3,60,21.2,60.6,106.2,1.75,5.4,161.6,4499.14
1,ADAPTA LTT 8402 IPRO,4,57.67,17.8,56.8,122.6,2.17,5.4,172.2,4737.33
1,98R30 CE,1,78.6,17.6,58.6,138.8,2.37,6.6,169.78,4759.2
1,98R30 CE,3,71,18,58.6,143.6,2.45,6.6,176.58,4700.92
1,98R30 CE,4,74.33,17.53,64,155.2,2.42,6.6,173.59,4600.03
1,FORTALEZA IPRO,1,78.4,16.2,89.8,257,2.86,7,127.06,4552.4
1,FORTALEZA IPRO,2,74.8,18.4,44,115.6,2.63,5.2,131.94,4488.97
1,FORTALEZA IPRO,3,73.6,16.6,91.2,236.8,2.6,6.6,130.64,4201.24
1,FORTALEZA IPRO,4,75.6,17.07,75,203.13,2.7,6.27,134.95,4211.03
1,MONSOY 8330I2X,1,63.4,14.6,54.6,139,2.55,4.2,144.29,4235.72
1,MONSOY 8330I2X,2,73.6,19.4,30,142.6,4.75,5,147.81,4510.86
1,MONSOY 8330I2X,3,70.8,18,64.8,159.4,2.46,4.2,151.42,4453.45
1,MONSOY 8330I2X,4,69.27,17.33,49.8,147,3.25,4.47,153.51,4373.28
1,SUZY IPRO,1,62.2,15.4,116.4,253.6,2.18,5.6,143.3,4057.59
1,TMG 22X83I2X,1,65.8,16.6,39.8,89.6,2.25,4,167.45,4011.21
1,FORTALECE L090183 RR,1,75.2,18,31.2,78.8,2.53,3.2,146.09,4418.61
1,FORTALECE L090183 RR,2,68.8,18.6,41.6,100.8,2.42,3,155.29,4168.57
1,FORTALECE L090183 RR,3,71,16.4,67.8,166.4,2.45,3.8,152.79,4003.94
1,FORTALECE L090183 RR,4,71.67,17.67,46.87,115.33,2.47,3.33,149.71,4147.17
2,GNS7900 IPRO - AMPLA,2,81.6,20.2,49.4,102.2,2.07,1.6,185.41,3979.568966
2,GNS7900 IPRO - AMPLA,4,79.4,18.4,53.2,112.4,1.73,3.07,183.4,3940
2,74K75RSF CE,2,82.2,14.4,44,97.4,2.21,2.8,168.01,3945.45977
2,FTR 3868 IPRO,2,77.4,15.8,36,86.4,2.4,1.8,164.92,4001.942529
2,79I81RSF IPRO,1,69,9.6,62.8,140,2.23,3,201.3,3976.241379
2,79I81RSF IPRO,2,64.4,8.4,61.8,159,2.57,2.2,196.72,4135.689655
2,79I81RSF IPRO,3,68.6,11,61.4,157,2.56,3.4,198.38,4164.057471
2,79I81RSF IPRO,4,67.33,9.67,62,152,2.45,2.87,193,4120
2,MONSOY M8606I2X,4,69.47,7.93,97.6,299.6,3.05,4.4,154.1,3939.310345
